,total_quantity,total_spend,frequency,avg_quantity_per_visit,avg_spend_per_visit,avg_spend_per_item,recency,SPEND_BAKERY,SPEND_CASHPOINT,SPEND_CONFECTIONARY,SPEND_DAIRY,SPEND_DELI,SPEND_DISCOUNT_BAKERY,SPEND_DRINKS,SPEND_FROZEN,SPEND_FRUIT_VEG,SPEND_GROCERY_FOOD,SPEND_GROCERY_HEALTH_PETS,SPEND_LOTTERY,SPEND_MEAT,SPEND_NEWSPAPERS_MAGAZINES,SPEND_PRACTICAL_ITEMS,SPEND_PREPARED_MEALS,SPEND_SEASONAL_GIFTING,SPEND_SOFT_DRINKS,SPEND_TOBACCO,SPEND_WORLD_FOODS
Segment 0,282.55472177936895,383.89246716820276,23.416454794819533,11.598784662205373,16.060046686808313,1.335708957895994,12.068154089598137,14.895152650331099,0.35461163104738413,25.964452352219443,35.30821995049005,1.987964190515478,0.054256573978507916,10.60828251544047,14.200898630715603,33.90881864793741,30.544598514389598,25.428956368246904,0.193232578708048,22.75584407051293,2.136412000688505,0.18708763416098528,14.638019797274742,1.029662066576543,6.3072045643258905,1.4350521176256987,1.8789035848417726
Segment 1,388.71972949066856,626.5148841580676,55.12304737166531,7.354898278585349,11.952740649126843,1.5906086638311296,4.381128420303058,20.433080614061648,6.941875319096416,28.385104376391237,39.46890216334471,2.2103209631496603,0.03736709840241592,13.464823095005102,13.547878387673242,28.002833959223395,27.294764009053754,26.146546880953156,2.3299999290443756,20.716790097822802,5.938299064127683,0.22393187295763295,15.489508942459132,1.2429098935927518,9.105283435667062,24.20412750032134,2.6129416249463944
Segment 2,484.55235584677007,557.8142914887246,38.27945418760872,10.966691084428891,13.032893593063733,1.1217859062178972,3.234077691176677,28.63073695825218,0.32718239778922054,46.18410502674112,62.15611552458764,3.4364445521430262,0.035053838043496155,9.819670495756531,26.577343439934562,61.51039250708547,52.56949752737769,46.09227995558632,0.17911351876810855,40.03734952779355,4.956588432624808,0.51214239780401,25.18334907420571,2.0105071531999226,11.366782434227519,0.9129882280101485,3.6485811406267823
Segment 3,704.1068997211189,1030.6953835690376,103.38793597419415,6.4013418511864115,9.485763516055332,1.406515520380299,1.4341816412515644,40.504854036232864,17.370097431860756,51.68810721286203,70.73892509768922,3.9191136805880005,0.01677336406999852,14.03757682187703,25.359712116193382,50.13616969324714,46.83992131348561,48.15540082604148,4.402558595978144,36.37261190288345,15.680775272885487,0.5789815557396003,27.132560830666662,2.470876631237345,17.73244371118687,43.59764530608373,5.309512890655662
Segment 4,622.6249939849225,685.2449671587667,56.386623617500504,8.366924610916445,9.60354001433821,1.021587893554393,1.4372333695041801,39.022058900353535,0.8815258162868294,57.14211343522154,77.130896881784,4.363806132892111,0.01861568008160397,8.838064811164822,32.91310443187743,71.98628638766634,61.02913991652481,56.61983380687861,0.444505680983986,47.31870807933754,9.035443935104556,0.7836517727142596,30.669907213770106,2.7784351258673947,15.46622512161472,1.6330064298606146,5.175966963608036
